Party_Name,Chair,Founded,Telephone,Address,Member_Count
Cumhuriyetçi Sol Parti,Devrim İPEKDAL,12.06.2024,,MEŞRUTİYET MAH. MEŞRUTİYET CAD. KONUR 1 SK. NO: 17 / 6 KIZILAY/ÇANKAYA/ANKARA,0
Sosyalist Cumhuriyet Partisi,Gürkan KOÇ,14.08.2023,,Selanik Cad. No: 35/3 Kızılay Çankaya/ANKARA,779
Cumhuriyetçi Vatanseverler Partisi,İsmail Hakkı ATAL,09.09.2024,,YILDIZEVLER MH. RABİNDRANATH TAGORE CD. NO: 47 / 1 ÇANKAYA/ANKARA,0
Sosyalist Emekçiler Partisi,GÜNEŞ GÜMÜŞ,21.04.2016,,Meşrutiyet Mah. Karanfil Sk. No:4/84 Çankaya/Ankara,39
Çağdaş Türkiye Partisi,Harun KARA,25.11.2024,,AZİZİYE MAH. PİYADE SK. NO: 32 / 8 ÇANKAYA/ANKARA,0
Sosyalist İktidar Partisi,,19.08.2024,,EMNİYET MAHALLESİ MAH. SİLAHTAR CD. NO: 27 / 12 YENİMAHALLE/ANKARA,0
Çoğulcu Demokrasi Partisi,Faruk ARSLANDOK,15.08.2014,0312 418 81 88,Meşrutiyet Cad. Bayındır Bayındır 2 Sk. No:50/2 Kızılay Çankaya/Ankara,300
Sosyalist Yeniden Kuruluş Partisi,Feray MERTOĞLU - Mertcan TİTİZ,26.06.2013,0312 4177957,"Kavaklıdere Mah., Olgunlar Sok., Sedir Apt. 2/11 Çankaya/ANKARA",385
Demokrasi ve Atılım Partisi,Ali BABACAN,09.03.2020,,Mustafa Kemal Mah. 2158. Sok. No: 9 ÇANKAYA/ANKARA,134.025
Sosyalistler Partisi,Deniz Can AYDIN,10.07.2024,0542 357 72 89,MEŞRUTİYET MAH. KARANFİL CD. NO: 18 / 3 ÇANKAYA/ANKARA,0
Demokrasi Zamanı Partisi,Ali DEMİREL - Hüseyin ÖZDAĞ,09.05.2016,0312 231 52 64,Gazi Mustafa Kemal Bulvarı No:29/12 Kat:6 Kızılay/ANKARA,122
Şahlanış Partisi,Murat Altun,10.01.2022,,AYYILDIZ MAH. 1631 CAD. NO: 3/13 ELVANKENT ETİMESGUT/ANKARA,104
